Id,Description,Choice1,Multiplier1,Choice2,Multiplier2,Boolean,Number
Move-In,Wow! You are moving in at Purdue for the start of the semester. Neat!,Organize Room,"5, 5, 0, 0, 0",Socialize,"0, 10, 0, 0, 0",FALSE,0
You got sick!,You've been neglecting your health and came down with the flu. How do you react?,Rest up,"5, 30, 0, -10, 0",Power through,"-5, 15, 0, 5, 0",FALSE,1
Mental Breakdown,"Because of your lack of happiness, you became anxious and had a mental breakdown. You are forced to take a break from academics to recover.",Mental health day,"-10, 30, 0, -10, 0",Null,"0, 0, 0, 0, 0",FALSE,2
Academic Intervention,"Due to neglecting academics, you are now failing a class. You could focus on studying or continue your normal routine.",Focus,"-10, -10, 0, 30, 0",Normal,"10, 10, 0, -10, 0",FALSE,3
Eating Out,You had a long day today with all your academic classes. You are debating whether to dine in to reduce the time you spend out or get takeout and get back to your dorm early.,Dine in,"0, -10, 0, 0, 10",Carry out,"0, 10, 0, 0, -10",FALSE,4
Transportation,You had a bad sleep last night and feel exhausted. You are considering either taking the bus or still walking to class despite your tiredness.,Bus,"10, 10, 0, 0, -10",Walk,"-10, -10, 0, 0, 10",FALSE,5
Free Weekend,You have a free weekend and are deciding to either participate in a volunteering event with a sustainability club at Purdue or just stay at your dorm chilling.,Volunteer,"0, 0, 0, 0, 10",Dorm,"0, 10, 0, 0, 0",FALSE,6
Going Paperless,You decided maybe it's time to upgrade to a digital notebook so you don’t have to carry heavy notebooks around campus. Would you like to buy a tablet or stick with paper notes?,Tablet,"0, 0, -10, 0, 0",Paper,"0, 0, 0, 0, -10",FALSE,7
Skincare,You just ran out of your favorite moisturizer! Are you going to buy one online from Amazon or just stop using the product?,Amazon,"10, 0, -10, 0, -10",Stop,"-10, 0, 0, 0, 0",FALSE,8
Female Community,"You got an offer to join a female community. However, you are hesitant because it is a lot more work and less free time, but it will give you more opportunities in your career in the future.",Join,"0, -10, 0, 10, 0",Reject,"0, 10, 0, 0, 0",FALSE,9
Research Opportunity,"A female professor reached out to you and asked if you would like to join her research. By joining, this research will look great on your resume but reduces your free time.",Accept,"0, -10, 10, 10, 0",Reject,"0, -10, 0, 0, 0",FALSE,10
Relaxation Break?,"Instead of studying, you feel like taking a stroll and enjoying the view of campus. Do you want to take a stroll or keep studying?",Stroll,"10, 10, 0, -10, 0",Study,"-10, -10, 0, 10, 0",FALSE,11
Trash Sorting,"You just went to a recycling meeting last week on which trash items belong in the recycling bin. You would like to sort your items, however it does take away time from your free time.",Sort,"0, -10, 0, 0, 10",Trash,"0, 10, 0, 0, -10",FALSE,12
Food Choice,"You feel like you are getting busier with the semester, but you also feel like your body is suffering from the stress. Would you like to make your own food or fast food?",Make Food,"10, 10, 0, -10, 10",Fast Food,"-10, -10, 0, 10, -10",FALSE,13
Water Bottle,You lost your water bottle at the start of the semester. You are deciding if you want to invest in another water bottle or use plastic water bottles.,Bottle,"0, 0, -10, 0, 10",Plastic,"0, 0, 0, 0, -10",FALSE,14
Tutoring Session,"You are currently struggling in your class. This Friday, there is a tutoring session that clashes with your hangout with friends that you planned ahead.",Tutoring,"0, -10, 0, 10, 0",Hangout,"0, 10, 0, -10, 0",FALSE,15
Club Sports,"This weekend, you want to participate in a club sports competition that spans two days, but you also have a midterm next week.",Study,"-10, 0, 0, 10, 0",Compete,"10, 0, 0, -10, 0",FALSE,16
Meditation Class,"You saw a flyer about a meditation class and want to attend it because you have been stressed, however it ruins your study plan with your friends.",Meditation,"10, 0, 0, -10, 0",Study,"-10, 0, 0, 10, 0",FALSE,17
Weather Alert,Cold weather alert! The temperature will drop significantly. Do you want to turn the heater on?,On,"10, 0, 0, 0, -10",Off,"-10, 0, 0, 0, 10",FALSE,18
Group Disagreement,"This week while working with your groupmates on a project, you guys got into some conflict on different opinions on where the project should go. You’ve since then gotten ignored by your fellow peers. Would you work on the project solely, but putting all the work together by yourself, or keep complying with your peers and follow what they are doing to avoid more work.",Solo,-10 -10 0 10 0,Peers,10 10 0 -10 0,FALSE,19
Leftovers,"You are having a big meal to celebrate your completion of an achievement. However to your surprise you ordered too much, and therefore cannot finish the food. Are you going to keep finishing the food, even though you feel full or are you going to stop eating here.",Finish,-10 0 0 0 10,Stop,10 0 0 0 -10,FALSE,20
